"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.350,0.000,-0.000382,-0.000382,0.006,0.00,0.12
0.550,0.002,0.000566,0.000566,0.006,0.00,0.11
0.750,0.002,0.001230,0.001230,0.007,0.01,0.14
0.950,0.004,0.002492,0.002492,0.008,0.02,0.15
1.150,0.005,0.003197,0.003197,0.008,0.02,0.17
1.350,0.006,0.004308,0.004308,0.009,0.03,0.18
1.550,0.007,0.005330,0.005330,0.008,0.03,0.16
1.750,0.008,0.006305,0.006305,0.008,0.04,0.17
1.950,0.009,0.007410,0.007410,0.008,0.05,0.17
2.150,0.010,0.008382,0.008382,0.009,0.05,0.18
2.350,0.011,0.009018,0.009018,0.008,0.06,0.17
2.550,0.012,0.009747,0.009747,0.009,0.06,0.17
2.750,0.013,0.011851,0.011851,0.008,0.08,0.15
2.950,0.014,0.011563,0.011563,0.009,0.08,0.18
3.150,0.014,0.013679,0.013679,0.011,0.09,0.21
3.350,0.016,0.016212,0.016212,0.010,0.11,0.20
3.550,0.016,0.014648,0.014648,0.008,0.10,0.16
3.750,0.018,0.016929,0.016929,0.010,0.11,0.19
3.950,0.018,0.018499,0.018499,0.009,0.12,0.18
4.150,0.020,0.018117,0.018117,0.010,0.12,0.19
4.350,0.020,0.021933,0.021933,0.010,0.14,0.20
4.550,0.022,0.019299,0.019299,0.011,0.13,0.22
4.750,0.023,0.021693,0.021693,0.011,0.14,0.22
4.950,0.024,0.023237,0.023237,0.007,0.15,0.14
5.150,0.025,0.023761,0.023761,0.010,0.16,0.19
5.350,0.026,0.023595,0.023595,0.009,0.15,0.17
5.550,0.027,0.025527,0.025527,0.008,0.17,0.16
5.750,0.028,0.027630,0.027630,0.011,0.18,0.22
5.950,0.028,0.027986,0.027986,0.011,0.18,0.21
6.150,0.030,0.030276,0.030276,0.013,0.20,0.25
6.350,0.030,0.030323,0.030323,0.012,0.20,0.24
6.550,0.032,0.031212,0.031212,0.012,0.20,0.24
6.750,0.033,0.032892,0.032892,0.011,0.21,0.22
