"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.300,0.000,0.000033,0.000033,0.006,0.00,0.10
0.400,0.000,0.000625,0.000625,0.006,0.00,0.12
0.500,0.001,0.000492,0.000492,0.009,0.00,0.16
0.600,0.002,0.001327,0.001327,0.008,0.01,0.15
0.700,0.002,0.001914,0.001914,0.008,0.01,0.15
0.800,0.003,0.002545,0.002545,0.009,0.02,0.17
0.900,0.003,0.002663,0.002663,0.010,0.02,0.18
1.000,0.004,0.002835,0.002835,0.010,0.02,0.18
1.100,0.004,0.003416,0.003416,0.009,0.02,0.17
1.200,0.005,0.004687,0.004687,0.010,0.03,0.18
1.300,0.006,0.005312,0.005312,0.010,0.04,0.18
1.400,0.006,0.005454,0.005454,0.011,0.04,0.20
1.500,0.006,0.004963,0.004963,0.008,0.04,0.15
1.600,0.006,0.005810,0.005810,0.012,0.04,0.21
1.700,0.008,0.006909,0.006909,0.012,0.05,0.21
1.800,0.008,0.007282,0.007282,0.010,0.05,0.19
1.900,0.008,0.007199,0.007199,0.011,0.05,0.21
2.000,0.008,0.007576,0.007576,0.011,0.05,0.20
2.100,0.009,0.008773,0.008773,0.013,0.06,0.23
2.200,0.010,0.009540,0.009540,0.011,0.07,0.20
2.300,0.010,0.009703,0.009703,0.011,0.07,0.21
2.400,0.010,0.010112,0.010112,0.010,0.07,0.19
2.500,0.011,0.010301,0.010301,0.011,0.07,0.20
2.600,0.012,0.011196,0.011196,0.011,0.08,0.20
2.700,0.012,0.011516,0.011516,0.012,0.08,0.21
2.800,0.012,0.012224,0.012224,0.012,0.09,0.22
2.900,0.013,0.012458,0.012458,0.011,0.09,0.20
3.000,0.014,0.013110,0.013110,0.011,0.09,0.20
3.100,0.014,0.013605,0.013605,0.012,0.10,0.22
3.200,0.014,0.014174,0.014174,0.012,0.10,0.21
3.300,0.015,0.014191,0.014191,0.012,0.10,0.22
3.400,0.016,0.014731,0.014731,0.011,0.11,0.21
3.500,0.016,0.015462,0.015462,0.012,0.11,0.22
3.600,0.016,0.016396,0.016396,0.012,0.12,0.22
3.700,0.017,0.016378,0.016378,0.012,0.12,0.21
3.800,0.018,0.017086,0.017086,0.012,0.12,0.22
3.900,0.018,0.017853,0.017853,0.012,0.13,0.23
4.000,0.019,0.018449,0.018449,0.012,0.13,0.22
4.100,0.019,0.018413,0.018413,0.011,0.13,0.21
4.200,0.020,0.019109,0.019109,0.012,0.14,0.22
4.300,0.020,0.019112,0.019112,0.013,0.14,0.24
4.400,0.021,0.019880,0.019880,0.013,0.14,0.23
4.500,0.021,0.020327,0.020327,0.013,0.15,0.24
4.600,0.022,0.021003,0.021003,0.013,0.15,0.24
4.700,0.022,0.021699,0.021699,0.014,0.16,0.25
4.800,0.022,0.021714,0.021714,0.015,0.16,0.26
4.900,0.024,0.022419,0.022419,0.014,0.16,0.26
5.000,0.024,0.022626,0.022626,0.013,0.16,0.23
5.100,0.024,0.022991,0.022991,0.013,0.17,0.23
5.200,0.024,0.023882,0.023882,0.013,0.17,0.24
5.300,0.025,0.024199,0.024199,0.013,0.17,0.24
5.400,0.026,0.024789,0.024789,0.013,0.18,0.23
5.500,0.026,0.025497,0.025497,0.013,0.18,0.24
5.600,0.026,0.025737,0.025737,0.014,0.19,0.25
5.700,0.027,0.026442,0.026442,0.014,0.19,0.26
5.800,0.028,0.026386,0.026386,0.014,0.19,0.26
5.900,0.028,0.027378,0.027378,0.015,0.20,0.27
6.000,0.028,0.027977,0.027977,0.014,0.20,0.26
6.100,0.029,0.028332,0.028332,0.016,0.20,0.29
6.200,0.030,0.028830,0.028830,0.016,0.21,0.29
6.300,0.030,0.029227,0.029227,0.015,0.21,0.28
6.400,0.030,0.030107,0.030107,0.015,0.22,0.27
6.500,0.031,0.030614,0.030614,0.014,0.22,0.26
6.600,0.032,0.030827,0.030827,0.016,0.22,0.29
6.700,0.032,0.031526,0.031526,0.016,0.23,0.29
6.800,0.032,0.031574,0.031574,0.015,0.23,0.28
6.900,0.033,0.032557,0.032557,0.015,0.23,0.28
7.000,0.034,0.033028,0.033028,0.016,0.24,0.30
7.100,0.035,0.033665,0.033665,0.016,0.24,0.30
7.200,0.035,0.034095,0.034095,0.014,0.25,0.26
7.300,0.035,0.034424,0.034424,0.016,0.25,0.29
7.400,0.036,0.035129,0.035129,0.017,0.25,0.30
7.500,0.036,0.035724,0.035724,0.014,0.26,0.26
7.600,0.036,0.035801,0.035801,0.016,0.26,0.29
7.700,0.037,0.036504,0.036504,0.016,0.26,0.30
7.800,0.038,0.036664,0.036664,0.017,0.26,0.31
7.900,0.038,0.037567,0.037567,0.017,0.27,0.32
8.000,0.039,0.038231,0.038231,0.017,0.28,0.31
