"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.000,-0.000376,-0.000376,0.008,0.00,0.14
0.350,0.000,0.000376,0.000376,0.005,0.00,0.10
0.450,0.000,0.000702,0.000702,0.007,0.01,0.13
0.550,0.001,0.001280,0.001280,0.008,0.01,0.14
0.650,0.002,0.001627,0.001627,0.008,0.01,0.15
0.750,0.002,0.002367,0.002367,0.008,0.02,0.14
0.850,0.002,0.002539,0.002539,0.009,0.02,0.17
0.950,0.003,0.003194,0.003194,0.009,0.02,0.17
1.050,0.004,0.003484,0.003484,0.010,0.03,0.18
1.150,0.004,0.004068,0.004068,0.011,0.03,0.20
1.250,0.005,0.004521,0.004521,0.010,0.03,0.18
1.350,0.006,0.005164,0.005164,0.011,0.04,0.21
1.450,0.006,0.005161,0.005161,0.011,0.04,0.21
1.550,0.006,0.005786,0.005786,0.011,0.04,0.20
1.650,0.006,0.006494,0.006494,0.012,0.05,0.21
1.750,0.007,0.007161,0.007161,0.012,0.05,0.22
1.850,0.008,0.007499,0.007499,0.013,0.05,0.24
1.950,0.008,0.007857,0.007857,0.011,0.06,0.21
2.050,0.008,0.008355,0.008355,0.011,0.06,0.21
2.150,0.009,0.009078,0.009078,0.013,0.07,0.23
2.250,0.010,0.009635,0.009635,0.014,0.07,0.26
2.350,0.010,0.009747,0.009747,0.013,0.07,0.24
2.450,0.010,0.010047,0.010047,0.013,0.07,0.24
2.550,0.011,0.010633,0.010633,0.013,0.08,0.23
2.650,0.012,0.011800,0.011800,0.014,0.09,0.25
2.750,0.012,0.011866,0.011866,0.014,0.09,0.25
2.850,0.012,0.011916,0.011916,0.014,0.09,0.25
2.950,0.013,0.012269,0.012269,0.013,0.09,0.25
3.050,0.014,0.013089,0.013089,0.014,0.09,0.25
3.150,0.014,0.014233,0.014233,0.014,0.10,0.27
3.250,0.014,0.014277,0.014277,0.015,0.10,0.28
3.350,0.015,0.014443,0.014443,0.016,0.10,0.29
3.450,0.016,0.014843,0.014843,0.016,0.11,0.30
3.550,0.016,0.015676,0.015676,0.016,0.11,0.30
3.650,0.016,0.016852,0.016852,0.017,0.12,0.32
3.750,0.017,0.016419,0.016419,0.015,0.12,0.28
3.850,0.018,0.016644,0.016644,0.016,0.12,0.30
3.950,0.018,0.017486,0.017486,0.015,0.13,0.27
