"Time (s)","Crosshead (mm)","estensometer(strain_1) (mm)","Extension (mm)","Load (kN)","Strain (%)","Stress (MPa)"
0.250,0.000,-0.002715,-0.002715,0.006,-0.02,0.11
0.350,0.000,-0.002086,-0.002086,0.006,-0.01,0.12
0.450,0.001,-0.001744,-0.001744,0.006,-0.01,0.12
0.550,0.002,-0.001446,-0.001446,0.006,-0.01,0.10
0.650,0.002,-0.000978,-0.000978,0.006,-0.01,0.12
0.750,0.002,-0.000332,-0.000332,0.008,0.00,0.14
0.850,0.003,0.000241,0.000241,0.007,0.00,0.14
0.950,0.004,0.000750,0.000750,0.009,0.01,0.16
1.050,0.004,0.000446,0.000446,0.008,0.00,0.14
1.150,0.005,0.001447,0.001447,0.008,0.01,0.14
1.250,0.006,0.001995,0.001995,0.009,0.01,0.17
1.350,0.006,0.002250,0.002250,0.009,0.02,0.16
1.450,0.006,0.002955,0.002955,0.010,0.02,0.18
1.550,0.006,0.003124,0.003124,0.009,0.02,0.16
1.650,0.008,0.004201,0.004201,0.010,0.03,0.18
1.750,0.008,0.004296,0.004296,0.011,0.03,0.20
1.850,0.008,0.004563,0.004563,0.010,0.03,0.19
1.950,0.008,0.005186,0.005186,0.010,0.04,0.19
2.050,0.009,0.005663,0.005663,0.009,0.04,0.17
2.150,0.010,0.006407,0.006407,0.009,0.04,0.16
2.250,0.010,0.006668,0.006668,0.010,0.05,0.18
2.350,0.010,0.007100,0.007100,0.009,0.05,0.17
2.450,0.011,0.008546,0.008546,0.010,0.06,0.18
2.550,0.012,0.009490,0.009490,0.009,0.07,0.17
2.650,0.012,0.009679,0.009679,0.011,0.07,0.20
2.750,0.012,0.010012,0.010012,0.011,0.07,0.20
2.850,0.013,0.010716,0.010716,0.010,0.07,0.19
2.950,0.014,0.011115,0.011115,0.010,0.08,0.18
3.050,0.014,0.011738,0.011738,0.009,0.08,0.16
3.150,0.014,0.012003,0.012003,0.009,0.08,0.16
3.250,0.015,0.012369,0.012369,0.010,0.09,0.18
3.350,0.016,0.013074,0.013074,0.009,0.09,0.17
3.450,0.016,0.013877,0.013877,0.010,0.10,0.19
3.550,0.016,0.013780,0.013780,0.010,0.10,0.18
3.650,0.017,0.014621,0.014621,0.010,0.10,0.18
3.750,0.018,0.014774,0.014774,0.010,0.10,0.18
3.850,0.018,0.015605,0.015605,0.010,0.11,0.19
3.950,0.018,0.016027,0.016027,0.011,0.11,0.20
